pollutant,emission_species,split_factor,divisor,inv_unit,emi_unit
CB05_ALD2,ALD2,1,44.03499,Mmol,mol/s
CB05_ALDX,ALDX,1,39.22808,Mmol,mol/s
CB05_ETH,ETH,1,28.053,Mmol,mol/s
CB05_ETOH,ETOH,1,30.069,Mmol,mol/s
CB05_FORM,FORM,1,45.8447,Mmol,mol/s
CB05_IOLE,IOLE,1,30.026,Mmol,mol/s
CB05_ISOP,ISOP,1,57.09965,Mmol,mol/s
CB05_MEOH,MEOH,1,68.117,Mmol,mol/s
CB05_OLE,OLE,1,32.042,Mmol,mol/s
CB05_PAR,PAR,1,0.992943,Mmol,mol/s
CB05_TERP,TERP,1,29.63422,Mmol,mol/s
CB05_TOL,TOL,1,15.11587,Mmol,mol/s
CB05_UNR,UNR,1,136.2352,Mmol,mol/s
CB05_XYL,XYL,1,96.79334,Mmol,mol/s
PM25,PAL,0.050235,1,Mg,g/s
PM25,PCA,0.034628,1,Mg,g/s
PM25,PCL,0.001152,1,Mg,g/s
PM25,PFE,0.025104,1,Mg,g/s
PM25,PH2O,3.95E-05,1,Mg,g/s
PM25,PK,0.004844,1,Mg,g/s
PM25,PMG,0.000459,1,Mg,g/s
PM25,PMN,0.000248,1,Mg,g/s
PM25,PMOTHR,0.588929,1,Mg,g/s
PM25,PNA,0.000116,1,Mg,g/s
PM25,PNCOM,0.043903,1,Mg,g/s
PM25,PNH4,0.003699,1,Mg,g/s
PM25,PNO3,0.006201,1,Mg,g/s
PM25,PSI,0.0774444,1,Mg,g/s
PM25,PSO4,0.159122,1,Mg,g/s
PM25,PTI,0.003877,1,Mg,g/s
SO2,SO2,1,64,Mg,mol/s
SO2,SULF,0.0218,98,Mg,mol/s
NH3,NH3,1,17,Mg,mol/s
CO,CO,1,28,Mg,mol/s
PMC,PMC,1,1,Mg,g/s
NOx,NO,0.9,30,Mg,mol/s
NOx,NO2,0.092,46,Mg,mol/s
NOx,HONO,0.008,47,Mg,mol/s
OC,POC,1,1,Mg,g/s
