pollutant,emission_species,split_factor,divisor,inv_unit,emi_unit
SAPRC07_AACD,AACD,1,60.05,Mmol,mol/s
SAPRC07_ACET,ACET,1,58.08,Mmol,mol/s
SAPRC07_ACYE,ACYE,1,26.04,Mmol,mol/s
SAPRC07_ALK1,ALK1,1,30.07,Mmol,mol/s
SAPRC07_ALK2,ALK2,1,36.73,Mmol,mol/s
SAPRC07_ALK3,ALK3,1,58.61,Mmol,mol/s
SAPRC07_ALK4,ALK4,1,77.6,Mmol,mol/s
SAPRC07_ALK5,ALK5,1,118.89,Mmol,mol/s
SAPRC07_ARO1,ARO1,1,95.16,Mmol,mol/s
SAPRC07_ARO2,ARO2MN,1,118.72,Mmol,mol/s
SAPRC07_BACL,BACL,1,86.09,Mmol,mol/s
SAPRC07_BALD,BALD,1,106.13,Mmol,mol/s
SAPRC07_BENZ,BENZ,1,78.11,Mmol,mol/s
SAPRC07_CH4,CH4,1,16.04,Mmol,mol/s
SAPRC07_CCHO,CCHO,1,44.05,Mmol,mol/s
SAPRC07_CRES,CRES,1,108.14,Mmol,mol/s
SAPRC07_ETHE,ETHE,1,28.05,Mmol,mol/s
SAPRC07_FACD,FACD,1,46.03,Mmol,mol/s
SAPRC07_GLY,GLY,1,58.04,Mmol,mol/s
SAPRC07_HCHO,HCHO,1,30.03,Mmol,mol/s
SAPRC07_IPRD,IPRD,1,100.12,Mmol,mol/s
SAPRC07_ISOP,ISOP,1,68.12,Mmol,mol/s
SAPRC07_MACR,MACR,1,70.09,Mmol,mol/s
SAPRC07_MEK,MEK,1,72.11,Mmol,mol/s
SAPRC07_MEOH,MEOH,1,32.04,Mmol,mol/s
SAPRC07_MGLY,MGLY,1,72.04,Mmol,mol/s
SAPRC07_MVK,MVK,1,70.09,Mmol,mol/s
SAPRC07_OLE1,OLE1,1,72.34,Mmol,mol/s
SAPRC07_OLE2,OLE2,1,75.78,Mmol,mol/s
SAPRC07_PACD,PACD,1,74.08,Mmol,mol/s
SAPRC07_PRD2,PRD2,1,116.16,Mmol,mol/s
SAPRC07_RCHO,RCHO,1,58.08,Mmol,mol/s
SAPRC07_RNO3,RNO3,1,147.18,Mmol,mol/s
SAPRC07_TERP,TERP,1,136.24,Mmol,mol/s
PM25,PAL,5.60E-03,1,Mg,g/s
PM25,PCA,0.033303,1,Mg,g/s
PM25,PCL,0.009179,1,Mg,g/s
PM25,PFE,6.22E-02,1,Mg,g/s
PM25,PH2O,3.71E-03,1,Mg,g/s
PM25,PK,0.002276,1,Mg,g/s
PM25,PMG,4.07E-02,1,Mg,g/s
PM25,PMN,5.00E-04,1,Mg,g/s
PM25,PMOTHR,0.264368,1,Mg,g/s
PM25,PNA,2.99E-03,1,Mg,g/s
PM25,PNCOM,0.375107,1,Mg,g/s
PM25,PNH4,0.041369,1,Mg,g/s
PM25,PNO3,0.016703,1,Mg,g/s
PM25,PSI,0.043676,1,Mg,g/s
PM25,PSO4,0.09631,1,Mg,g/s
PM25,PTI,1.97E-03,1,Mg,g/s
SO2,SO2,1,64,Mg,mol/s
SO2,SULF,0,98,Mg,mol/s
NH3,NH3,1,17,Mg,mol/s
CO,CO,1,28,Mg,mol/s
PMC,PMC,1,1,Mg,g/s
NOx,NO,0.9,30,Mg,mol/s
NOx,NO2,0.092,46,Mg,mol/s
NOx,HONO,0.008,47,Mg,mol/s
OC,POC,1,1,Mg,g/s
