hourly,power,industry,residential,transportation,agriculture
0,0.032,0.026,0.038,0.017,0.026
1,0.03,0.007,0.038,0.013,0.019
2,0.029,0.007,0.03,0.014,0.019
3,0.028,0.007,0.045,0.015,0.018
4,0.029,0.007,0.045,0.016,0.019
5,0.032,0.007,0.038,0.016,0.021
6,0.035,0.007,0.03,0.029,0.029
7,0.04,0.029,0.03,0.056,0.033
8,0.0433,0.045,0.038,0.0599,0.0473
9,0.0457,0.068,0.038,0.059,0.0576
10,0.0479,0.068,0.03,0.0594,0.07
11,0.0495,0.068,0.045,0.0501,0.0885
12,0.0495,0.068,0.045,0.0501,0.0885
13,0.0497,0.068,0.038,0.0588,0.0823
14,0.0501,0.068,0.03,0.06,0.0803
15,0.05,0.068,0.03,0.062,0.07
16,0.0497,0.068,0.038,0.0594,0.0597
17,0.0489,0.066,0.075,0.0574,0.0453
18,0.0477,0.063,0.075,0.0557,0.0309
19,0.0473,0.037,0.075,0.049,0.0268
20,0.0466,0.037,0.075,0.0454,0.0226
21,0.044,0.037,0.054,0.0417,0.0206
22,0.0397,0.037,0.018,0.0308,0.0206
23,0.0352,0.037,0.018,0.0216,0.0206
